task_id,task_type,building,floor,team,priority,scheduled_time,estimated_duration,completion_time,completion_status,task_complexity,concurrent_tasks,resource_availability,was_delayed,on_time_completion,task_missed
TASK-3722,Landscape Maintenance,Building_5,6,Electrical Team,High,2023-02-26 08:00:00,0.5665670113419115,2023-02-26 08:33:59.641241,Completed,7.536924983205717,7,0.6468294679320943,True,False,0
TASK-26124,Equipment Calibration,Building_3,10,Janitorial Team,Low,2024-08-07 12:00:00,1.3581164619671422,,Missed,1.971682024266701,4,0.9412875988312873,False,False,1
TASK-10228,Security Check,Building_3,3,HVAC Team,Low,2023-08-07 18:00:00,0.7246841067964976,2023-08-07 18:43:28.862784,Completed,5.12178037794229,3,0.9288234494741904,False,True,0
TASK-21398,Safety Inspection,Building_3,1,Maintenance A,Low,2024-04-09 13:00:00,1.800787523061205,,Missed,3.1802726597582645,5,0.8918318584950822,False,False,1
TASK-3096,Cleaning,Building_4,10,Maintenance B,Low,2023-02-13 12:00:00,1.4811762262670163,2023-02-13 13:31:59.336553,Completed,2.4720917260265844,0,0.8958484750078661,True,False,0
TASK-31282,Preventive Maintenance,Building_2,1,Electrical Team,Low,2024-12-05 12:00:00,3.9933855512987964,2024-12-05 15:59:36.187985,Completed,3.502242191883009,1,0.9223250769573026,True,False,0
TASK-23134,Landscape Maintenance,Building_5,5,Security Team,Low,2024-05-21 15:00:00,1.4845415340041606,2024-05-21 16:29:04.349522,Completed,8.92211949449681,1,0.9696984479968779,False,True,0
TASK-21803,HVAC Service,Building_3,6,Maintenance A,Low,2024-04-18 12:00:00,2.309561179589122,2024-04-18 14:18:34.420247,Completed,6.673053977987841,2,0.974639854088492,True,False,0
TASK-19183,Fire System Check,Building_4,2,Maintenance B,Low,2024-02-18 10:00:00,1.2346281394964995,2024-02-18 11:14:04.661302,Completed,5.351004216170573,6,0.5925197636206195,False,True,0
TASK-32410,Corrective Maintenance,Building_2,2,Plumbing Team,High,2024-12-26 08:00:00,1.2496334896837467,2024-12-26 09:14:58.680563,Completed,7.107662099116281,2,0.8935316696098083,True,False,0
TASK-24387,Corrective Maintenance,Building_1,6,Maintenance B,High,2024-06-22 08:00:00,0.9411974319691272,,Missed,7.942469250828283,6,0.5090417644971021,False,False,1
TASK-13641,Electrical Inspection,Building_4,2,Plumbing Team,Medium,2023-10-27 07:00:00,1.205329797543576,2023-10-27 08:12:19.187271,Completed,1.8647324580397484,1,0.8144145823056395,False,True,0
TASK-31113,Elevator Maintenance,Building_3,3,HVAC Team,Medium,2024-12-02 13:00:00,2.5787197134824282,2024-12-02 15:34:43.390969,Completed,1.7587984295703358,0,0.961169469528646,True,False,0
TASK-2829,Preventive Maintenance,Building_2,4,Janitorial Team,Low,2023-02-07 08:00:00,2.4764052560675793,2023-02-07 11:48:33.722868,Completed,1.9863808330161432,0,0.951142826720217,True,False,0
TASK-11725,Cleaning,Building_2,8,HVAC Team,High,2023-09-13 07:00:00,0.7370103635460106,2023-09-13 07:44:13.237309,Completed,8.327072755909715,3,0.946705577982832,True,False,0
TASK-3448,Pest Control,Building_2,3,Janitorial Team,Low,2023-02-20 15:00:00,1.4005320282636227,2023-02-20 16:24:01.915302,Completed,5.340283647045595,0,0.9929788246955631,True,False,0
TASK-29583,Landscape Maintenance,Building_1,1,Maintenance A,Critical,2024-10-29 16:00:00,1.5873991730526396,2024-10-29 17:35:14.637023,Completed,3.6785050121540563,4,0.9645288850685987,True,False,0
TASK-19831,Cleaning,Building_2,5,Security Team,Low,2024-03-04 14:00:00,1.5308614518508596,2024-03-04 16:21:06.674649,Completed,6.9541903110935515,0,0.9522732546159846,True,False,0
TASK-10765,Plumbing Repair,Building_3,2,Plumbing Team,Critical,2023-08-21 17:00:00,0.7624713285686157,2023-08-21 17:45:44.896783,Completed,7.9691726822939986,0,0.90982502455626,True,False,0
TASK-5157,Cleaning,Building_4,6,Janitorial Team,Medium,2023-03-30 11:00:00,1.526100053322462,,Missed,6.441278272406274,5,0.9535467302741452,False,False,1
TASK-22208,Filter Replacement,Building_2,9,Plumbing Team,Critical,2024-04-28 12:00:00,1.7893513299938648,2024-04-28 13:47:21.664788,Completed,2.1387652594641176,5,0.5131377964335467,True,False,0
TASK-4150,Security Check,Building_4,3,Janitorial Team,Low,2023-03-08 12:00:00,0.5167063647082596,,Missed,3.978576146357001,7,0.8628075361389917,False,False,1
TASK-6003,Electrical Inspection,Building_3,5,Security Team,Low,2023-04-20 08:00:00,0.5673402252862989,,Missed,5.068658427885216,4,0.8344891056964491,False,False,1
TASK-23400,Security Check,Building_5,7,HVAC Team,High,2024-05-28 15:00:00,1.7560622680643352,2024-05-28 16:45:21.824165,Completed,7.208124156990261,3,0.9806277778955887,False,True,0
TASK-32254,Plumbing Repair,Building_1,6,Security Team,Medium,2024-12-24 08:00:00,0.5874200284453589,2024-12-24 08:35:14.712102,Completed,9.93886964083169,0,0.9776590486007611,False,True,0
TASK-23708,Corrective Maintenance,Building_2,6,Electrical Team,Low,2024-06-05 10:00:00,1.4917466249885476,,Missed,5.971263226535642,6,0.8017403775006102,False,False,1
TASK-28955,HVAC Service,Building_4,8,HVAC Team,Low,2024-10-15 13:00:00,3.7188620552496996,2024-10-15 16:43:07.903399,Completed,3.9096858059322033,4,0.933690275068917,True,False,0
TASK-20309,Fire System Check,Building_2,9,HVAC Team,High,2024-03-14 12:00:00,0.9477511814977837,2024-03-14 14:34:30.852907,Completed,1.5187358584862363,3,0.9022958494218758,True,False,0
TASK-14084,Landscape Maintenance,Building_3,1,Electrical Team,Low,2023-11-07 14:00:00,0.6283905856175362,2023-11-07 14:37:42.206108,Completed,1.104359178438875,3,0.9224076320775887,False,True,0
TASK-1156,Electrical Inspection,Building_5,3,Plumbing Team,Medium,2023-01-04 11:00:00,1.5996695336229214,2023-01-04 12:35:58.810321,Completed,2.1841091661453382,7,0.9736545010816762,False,True,0
TASK-14746,Cleaning,Building_4,8,HVAC Team,Low,2023-11-21 13:00:00,1.6657748089359838,2023-11-21 16:26:33.649567,Completed,5.483518954702251,3,0.8647303180514911,True,False,0
TASK-9773,Elevator Maintenance,Building_2,2,HVAC Team,Low,2023-07-26 13:00:00,2.4742646713369103,2023-07-26 15:28:27.352817,Completed,5.101429214896472,5,0.9556318014762658,True,False,0
TASK-19285,Security Check,Building_4,6,Janitorial Team,High,2024-02-20 07:00:00,0.6900772865507403,2024-02-20 08:31:23.621859,Completed,9.060039590872677,5,0.9349895794341253,True,False,0
TASK-3926,Cleaning,Building_4,7,Maintenance A,Low,2023-03-02 12:00:00,1.1158991325346617,2023-03-02 13:06:57.236877,Completed,6.921771177386907,0,0.8465993976105906,False,True,0
TASK-29175,Pest Control,Building_5,9,HVAC Team,Low,2024-10-19 13:00:00,1.324989953493616,2024-10-19 14:44:30.787787,Completed,9.921613903543367,2,0.6127406434883216,True,False,0
TASK-9760,Filter Replacement,Building_3,4,Janitorial Team,Medium,2023-07-26 16:00:00,1.3457548089007552,,Missed,9.118748957937942,4,0.9556318014762658,False,False,1
TASK-27757,Security Check,Building_1,5,Electrical Team,High,2024-09-17 07:00:00,1.033453829603281,,Missed,4.315562361312364,2,0.8306209130683762,False,False,1
TASK-28196,Equipment Calibration,Building_3,3,Plumbing Team,Medium,2024-09-26 11:00:00,1.6943770044475501,2024-09-26 13:51:52.634345,Completed,1.3930621849480804,1,0.8927243898438267,True,False,0
TASK-20579,Security Check,Building_4,8,Plumbing Team,Low,2024-03-20 11:00:00,0.7062817817140031,2024-03-20 11:42:22.614414,Completed,9.39326488235155,5,0.8575104345246616,False,True,0
TASK-7927,Plumbing Repair,Building_1,7,Maintenance A,Low,2023-06-07 09:00:00,1.6815571745698656,2023-06-07 10:40:53.605828,Completed,5.228085995192543,1,0.8750778416840237,False,True,0
TASK-23680,Landscape Maintenance,Building_1,2,HVAC Team,Medium,2024-06-04 11:00:00,1.2254396083930532,2024-06-04 12:13:31.582590,Completed,1.9223032934549857,4,0.8648524629912073,False,True,0
TASK-14045,Security Check,Building_1,10,Janitorial Team,Medium,2023-11-06 09:00:00,1.2176291438162714,2023-11-06 10:57:01.581037,Completed,8.483692442891101,7,0.8138867084589286,True,False,0
TASK-29229,Cleaning,Building_5,3,Maintenance B,Medium,2024-10-21 16:00:00,0.9163634120956341,2024-10-21 16:54:58.908284,Completed,1.769933552257614,6,0.8371335537022647,True,False,0
TASK-22526,Pest Control,Building_3,2,HVAC Team,High,2024-05-06 14:00:00,1.5412077893220701,2024-05-06 15:32:28.348042,Completed,7.16400195587045,2,0.918091353253241,True,False,0
TASK-17697,Cleaning,Building_1,2,Janitorial Team,High,2024-01-17 12:00:00,1.351257444897948,2024-01-17 13:21:04.526802,Completed,8.994828238923551,3,0.935677350548272,True,False,0
TASK-5858,Filter Replacement,Building_4,4,Maintenance A,Medium,2023-04-17 18:00:00,0.8645868377109716,2023-04-17 18:51:52.512616,Completed,3.0040265463836584,1,0.8827593813227842,True,False,0
TASK-31249,Equipment Calibration,Building_3,8,Janitorial Team,Medium,2024-12-04 16:00:00,1.9840681468869727,2024-12-04 19:09:11.749232,Completed,8.447494877877398,1,0.9886888069422259,True,False,0
TASK-6339,Security Check,Building_3,8,Maintenance B,Medium,2023-04-27 09:00:00,1.2627323747610801,2023-04-27 10:15:45.836549,Completed,7.686721374707452,5,0.987145698781454,False,True,0
TASK-16989,HVAC Service,Building_4,10,Security Team,Medium,2024-01-03 07:00:00,2.3103943362449595,2024-01-03 09:18:37.419610,Completed,4.096421469915785,1,0.8717891243002254,False,True,0
TASK-18064,Elevator Maintenance,Building_5,7,Maintenance B,Low,2024-01-25 16:00:00,1.810517878794039,2024-01-25 18:11:49.495840,Completed,4.445047471362791,2,0.9968175030091996,True,False,0
TASK-23475,Safety Inspection,Building_3,4,Maintenance A,Medium,2024-05-29 13:00:00,0.5689594421262762,2024-05-29 13:34:08.253992,Completed,5.36135070200948,0,0.8433538388059347,True,False,0
TASK-7048,Equipment Calibration,Building_3,1,Maintenance A,Low,2023-05-16 17:00:00,1.3427276971176183,2023-05-16 19:35:33.584868,Completed,4.823709407888066,3,0.9804910775832436,True,False,0
TASK-21142,Plumbing Repair,Building_2,7,Janitorial Team,Low,2024-04-02 16:00:00,0.5994177036604464,2024-04-02 16:35:57.903733,Completed,6.133006640245273,4,0.9282980482153877,False,True,0
TASK-8228,Plumbing Repair,Building_4,9,HVAC Team,Low,2023-06-15 08:00:00,1.5261460998572824,2023-06-15 10:11:42.566196,Completed,1.9248121842135035,0,0.9233123223611205,True,False,0
TASK-13514,Preventive Maintenance,Building_2,1,HVAC Team,Medium,2023-10-25 13:00:00,2.140860100568994,2023-10-25 15:08:27.096362,Completed,8.555448552174068,0,0.8940816077458654,False,True,0
TASK-31407,Corrective Maintenance,Building_2,10,HVAC Team,Medium,2024-12-07 10:00:00,0.6075008477982308,2024-12-07 10:36:27.003052,Completed,3.6451457601454855,0,0.5542797835433327,False,True,0
TASK-29154,Corrective Maintenance,Building_5,8,Electrical Team,Low,2024-10-18 15:00:00,0.9296245744491931,2024-10-18 15:55:46.648468,Completed,6.407175120500217,1,0.8675306411942613,False,True,0
TASK-6750,Safety Inspection,Building_3,6,Electrical Team,Low,2023-05-09 17:00:00,1.85652420010034,2023-05-09 20:09:21.731051,Completed,5.76835470047877,7,0.8185934765739087,True,False,0
TASK-21544,Cleaning,Building_3,2,Maintenance B,Medium,2024-04-11 13:00:00,1.4506929858599977,2024-04-11 14:27:02.494749,Completed,4.559189022685187,4,0.9438663403843248,False,True,0
TASK-10720,Landscape Maintenance,Building_4,10,Electrical Team,Low,2023-08-18 12:00:00,1.6034722292224204,2023-08-18 14:01:16.933529,Completed,6.614391468824963,2,0.8248001227250096,True,False,0
TASK-20536,Elevator Maintenance,Building_4,5,HVAC Team,Medium,2024-03-19 09:00:00,3.9848957015077993,2024-03-19 12:59:05.624525,Completed,5.023069414898084,6,0.9893905634899964,False,True,0
TASK-4540,Corrective Maintenance,Building_3,7,Maintenance A,Medium,2023-03-16 13:00:00,1.280153963943872,2023-03-16 14:16:48.554270,Completed,5.4640128706449875,2,0.870292042550622,False,True,0
TASK-18263,Landscape Maintenance,Building_5,4,Security Team,Low,2024-01-29 15:00:00,0.6243001418334124,2024-01-29 16:14:06.312215,Completed,9.727975097536023,2,0.9653080300021147,True,False,0
TASK-29649,Pest Control,Building_4,2,Security Team,Low,2024-10-30 12:00:00,0.9657031032338115,2024-10-30 12:57:56.531172,Completed,6.4723916943210815,5,0.9132365122885632,True,False,0
TASK-11868,Elevator Maintenance,Building_4,2,Janitorial Team,Critical,2023-09-15 12:00:00,2.1111700995589104,2023-09-15 15:20:54.926617,Completed,8.441235585624465,0,0.9113006267340972,True,False,0
TASK-28992,Fire System Check,Building_4,9,Maintenance B,High,2024-10-15 17:00:00,1.557700050074046,2024-10-15 19:11:59.114357,Completed,6.34691372132718,7,0.933690275068917,True,False,0
